# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	8116
#@/user_id	0852eae9-5c80-4408-af08-89a82269f461
a 	啊	c=2 d=1.98511 t=8116
jian dan 	简单	c=1 d=0.946485 t=8116
jian ge 	间隔	c=5 d=2.07818 t=8116
jian jie 	简洁	c=10 d=5.96262 t=8116
jian kong 	监控	c=1 d=0.891366 t=8116
jian li 	建立	c=1 d=0.438235 t=8116
jian pan 	键盘	c=3 d=1.30229 t=8116
jian rong 	兼容	c=1 d=0.985112 t=8116
jian shao 	减少	c=3 d=2.71273 t=8116
jian xie 	简写	c=2 d=1.62093 t=8116
jian yi 	建议	c=3 d=2.51572 t=8116
jiang 	讲	c=8 d=4.91646 t=8116
jiang ji 	降级	c=2 d=1.87372 t=8116
jiao 	叫	c=2 d=1.85572 t=8116
jiao ben 	脚本	c=5 d=3.17303 t=8116
jiao bu 	脚步	c=10 d=4.63531 t=8116
jiao ge 	交割	c=1 d=0.822835 t=8116
jiao huan 	交换	c=3 d=2.68607 t=8116
jiao yan 	校验	c=1 d=0.923116 t=8116
jiao yi 	交易	c=2 d=1.54634 t=8116
jiao yi suo 	交易所	c=5 d=3.66081 t=8116
jie 	杰	c=1 d=0.995012 t=8116
jie duan 	阶段	c=1 d=0.995012 t=8116
jie gou 	结构	c=14 d=5.92901 t=8116
jie gou ti 	结构体	c=20 d=7.60665 t=8116
jie guo 	结果	c=4 d=2.45024 t=8116
jie he 	结合	c=2 d=1.32339 t=8116
jie jin 	接近	c=1 d=0.726149 t=8116
jie jue 	解决	c=22 d=6.33813 t=8116
jie kou 	接口	c=3 d=2.4514 t=8116
jie ma 	解码	c=2 d=1.44335 t=8116
jie mi 	解密	c=1 d=0.852144 t=8116
jie mian 	界面	c=8 d=3.00082 t=8116
jie shi 	解释	c=6 d=4.65074 t=8116
jie shou 	接受	c=11 d=4.73547 t=8116
jie shou 	接收	c=4 d=1.67441 t=8116
jie shu 	结束	c=7 d=3.97445 t=8116
jie suo 	解锁	c=1 d=0.810584 t=8116
jie xi 	解析	c=8 d=4.74376 t=8116
jie xi qi 	解析器	c=1 d=0.965605 t=8116
jie zhe 	接着	c=1 d=0.806541 t=8116
jin du 	进度	c=1 d=0.941765 t=8116
jin lai 	进来	c=1 d=0.869358 t=8116
jin qu 	进去	c=1 d=0.71177 t=8116
jin rong 	金融	c=4 d=3.15433 t=8116
jin xing 	进行	c=13 d=4.98743 t=8116
jing 	景	c=1 d=0.88692 t=8116
jing chang 	经常	c=1 d=0.941765 t=8116
jing gao 	警告	c=2 d=1.87156 t=8116
jing jian 	精简	c=1 d=0.995012 t=8116
jing xiang 	镜像	c=21 d=10.7446 t=8116
jing zheng 	竞争	c=1 d=0.951229 t=8116
jiu 	就	c=19 d=4.90355 t=8116
jiu hui 	就会	c=3 d=2.08527 t=8116
jiu neng 	就能	c=1 d=0.822835 t=8116
jiu qu 	就去	c=1 d=0.946485 t=8116
jiu shi 	就是	c=5 d=2.3935 t=8116
jiu xiang 	就像	c=1 d=0.715338 t=8116
jiu xing 	就行	c=13 d=5.14538 t=8116
jiu yong 	就用	c=2 d=1.59468 t=8116
ju ji 	狙击	c=1 d=0.909373 t=8116
ju li 	距离	c=2 d=1.94649 t=8116
ju ti 	具体	c=7 d=3.55538 t=8116
ju yu wang 	局域网	c=2 d=1.70046 t=8116
ju zhong 	居中	c=3 d=1.48387 t=8116
jue de 	觉得	c=2 d=1.84232 t=8116
jue ding 	决定	c=6 d=3.29821 t=8116
jun jia 	均价	c=1 d=0.729789 t=8116
ka 	卡	c=1 d=0.965605 t=8116
ka pian 	卡片	c=4 d=2.30762 t=8116
kai 	开	c=4 d=2.53038 t=8116
kai cang 	开仓	c=4 d=3.10078 t=8116
kai ji 	开机	c=1 d=0.701173 t=8116
kai qi 	开启	c=6 d=2.97186 t=8116
kai shi 	开始	c=8 d=3.77423 t=8116
kai tou 	开头	c=2 d=1.17145 t=8116
kan 	看	c=7 d=2.70449 t=8116
kan bu dao 	看不到	c=1 d=0.951229 t=8116
kan bu qing 	看不清	c=1 d=0.634448 t=8116
kan da 	看大	c=1 d=0.88692 t=8116
kan dai 	看待	c=1 d=0.965605 t=8116
kan dao 	看到	c=4 d=2.12317 t=8116
kan jian 	看见	c=1 d=0.774916 t=8116
kan kan 	看看	c=2 d=1.63742 t=8116
kao 	靠	c=1 d=0.900325 t=8116
kao bei 	拷贝	c=1 d=0.955997 t=8116
kao qin 	考勤	c=1 d=0.923116 t=8116
ke 	可	c=1 d=0.941765 t=8116
ke bian 	可变	c=3 d=2.09268 t=8116
ke bian xing 	可变性	c=2 d=1.41353 t=8116
ke ji 	科技	c=7 d=6.01202 t=8116
ke neng 	可能	c=6 d=3.24315 t=8116
ke neng de 	可能的	c=1 d=1 t=8116
ke xing 	可行	c=1 d=0.603506 t=8116
ke yi 	可以	c=105 d=15.3707 t=8116
ke yong 	可用	c=3 d=1.80252 t=8116
kong 	空	c=6 d=3.90935 t=8116
kong ge 	空格	c=1 d=0.951229 t=8116
kong jian 	空间	c=6 d=3.13502 t=8116
kong jie gou 	空结构	c=1 d=0.927743 t=8116
kong zhi 	控制	c=1 d=0.99005 t=8116
kong zhi quan 	控制权	c=1 d=1 t=8116
kong zhuan 	空转	c=1 d=0.715338 t=8116
ku 	库	c=16 d=7.71472 t=8116
kua 	跨	c=1 d=0.818731 t=8116
kuai jie 	快捷	c=1 d=1 t=8116
kuai jie jian 	快捷键	c=9 d=5.58498 t=8116
kuai su 	快速	c=1 d=0.755784 t=8116
kuan 	宽	c=2 d=1.92712 t=8116
kuang jia 	框架	c=5 d=4.38328 t=8116
kui 	亏	c=1 d=0.955997 t=8116
kui sun 	亏损	c=1 d=0.99005 t=8116
kuo zhan 	扩展	c=1 d=0.882497 t=8116
la 	拉	c=1 d=0.878095 t=8116
lai 	来	c=20 d=7.37091 t=8116
lai shuo 	来说	c=1 d=0.923116 t=8116
lai yuan 	来源	c=3 d=2.7619 t=8116
lai yuan yu 	来源于	c=1 d=0.955997 t=8116
lai zi 	来自	c=1 d=0.970446 t=8116
lan 	栏	c=1 d=0.932394 t=8116
lan se 	蓝色	c=1 d=1 t=8116
le 	了	c=70 d=9.85435 t=8116
lei 	类	c=1 d=0.951229 t=8116
lei ji 	累计	c=1 d=0.831104 t=8116
lei si 	类似	c=8 d=3.68457 t=8116
lei xing 	类型	c=7 d=4.27555 t=8116
li 	里	c=48 d=13.2925 t=8116
li mian 	里面	c=1 d=0.839457 t=8116
li shi 	历史	c=2 d=1.76003 t=8116
li you 	理由	c=1 d=0.985112 t=8116
li zi 	例子	c=4 d=2.98015 t=8116
lian 	链	c=1 d=1 t=8116
lian jie 	连接	c=5 d=4.34869 t=8116
lian jie 	链接	c=4 d=2.3858 t=8116
lian xu 	连续	c=2 d=1.71843 t=8116
liang 	量	c=3 d=2.70547 t=8116
liang ge 	两个	c=22 d=7.31664 t=8116
liang ji fen hua 	两极分化	c=1 d=0.67032 t=8116
liang ju hua 	两句话	c=1 d=0.794534 t=8116
lie 	列	c=1 d=0.923116 t=8116
lie biao 	列表	c=1 d=0.97531 t=8116
lie chu 	列出	c=2 d=1.48983 t=8116
ling qu 	领取	c=1 d=0.985112 t=8116
ling yi ge 	另一个	c=1 d=0.729789 t=8116
ling yu 	领域	c=1 d=0.895834 t=8116
liu lan qi 	浏览器	c=7 d=6.30451 t=8116
long 	龙	c=6 d=5.10231 t=8116
luo ji 	裸机	c=2 d=1.19646 t=8116
luo ji 	逻辑	c=9 d=5.152 t=8116
lv 	率	c=2 d=1.91393 t=8116
ma 	吗	c=75 d=15.0947 t=8116
ma 	麻	c=1 d=0.960789 t=8116
ma fan 	麻烦	c=3 d=2.53641 t=8116
ma yi ji tuan 	蚂蚁集团	c=1 d=0.985112 t=8116
ma yun 	马云	c=2 d=1.8329 t=8116
mao si 	貌似	c=2 d=1.56368 t=8116
mao ze dong 	毛泽东	c=2 d=1.898 t=8116
me yang 	么样	c=1 d=0.927743 t=8116
mei 	每	c=2 d=1.35819 t=8116
mei 	没	c=4 d=2.86154 t=8116
mei ban fa 	没办法	c=2 d=1.50732 t=8116
mei ci 	每次	c=7 d=4.06954 t=8116
mei ge 	每个	c=8 d=3.34264 t=8116
mei guan 	美观	c=2 d=1.7971 t=8116
mei ju 	枚举	c=11 d=5.39905 t=8116
mei wen ti 	没问题	c=1 d=0.802519 t=8116
mei yi bu 	每一步	c=1 d=0.774916 t=8116
mei you 	没有	c=59 d=10.3482 t=8116
mi 	密	c=1 d=0.794534 t=8116
mi ma 	密码	c=3 d=2.4357 t=8116
mi yao 	密钥	c=2 d=1.63708 t=8116
mian 	面	c=2 d=1.76508 t=8116
mian fei 	免费	c=2 d=1.95551 t=8116
mian fei ban 	免费版	c=1 d=0.980199 t=8116
miao shu 	描述	c=1 d=0.386741 t=8116
ming 	名	c=3 d=2.13524 t=8116
ming bai 	明白	c=1 d=0.955997 t=8116
ming ci 	名词	c=1 d=0.873716 t=8116
ming ling 	命令	c=28 d=8.18988 t=8116
ming ming 	命名	c=5 d=3.20767 t=8116
ming que 	明确	c=2 d=1.62135 t=8116
ming zi 	名字	c=9 d=4.82395 t=8116
mo fang 	模仿	c=1 d=0.895834 t=8116
mo kuai 	模块	c=2 d=1.70053 t=8116
mo kuai hua 	模块化	c=1 d=0.755784 t=8116
mo li hua 	茉莉花	c=1 d=0.970446 t=8116
mo ming qi miao 	莫名其妙	c=1 d=0.847894 t=8116
mo ren 	默认	c=5 d=2.92254 t=8116
mo ren zhi 	默认值	c=2 d=1.7232 t=8116
mo shi 	模式	c=5 d=3.07849 t=8116
mo ta 	魔塔	c=4 d=3.72988 t=8116
mo xing 	模型	c=7 d=5.50559 t=8116
mou ge 	某个	c=4 d=3.17549 t=8116
mou jian shi 	某件事	c=1 d=0.970446 t=8116
mou xie 	某些	c=7 d=3.56239 t=8116
mu lu 	目录	c=14 d=5.78851 t=8116
mu qian 	目前	c=1 d=0.540641 t=8116
na 	那	c=4 d=2.81659 t=8116
na ge 	那个	c=9 d=4.5003 t=8116
na jiu 	那就	c=2 d=1.04941 t=8116
na li 	哪里	c=4 d=2.58695 t=8116
na me 	那么	c=36 d=9.4537 t=8116
na ni 	那你	c=2 d=1.60122 t=8116
na xie 	拿些	c=2 d=1.7214 t=8116
na yang 	那样	c=2 d=1.88141 t=8116
na zhong 	那种	c=3 d=2.54972 t=8116
nan dao 	难道	c=6 d=2.96896 t=8116
ne 	呢	c=13 d=4.83505 t=8116
nei 	内	c=2 d=1.29383 t=8116
nei bu 	内部	c=4 d=2.33384 t=8116
nei han 	内涵	c=2 d=1.83946 t=8116
nei he 	内核	c=5 d=3.24919 t=8116
nei qian 	内嵌	c=1 d=0.839457 t=8116
nei rong 	内容	c=23 d=8.97364 t=8116
nei wang 	内网	c=1 d=0.985112 t=8116
neng 	能	c=1 d=0.71177 t=8116
neng fou 	能否	c=20 d=7.6815 t=8116
neng gou 	能够	c=1 d=1 t=8116
neng li 	能力	c=1 d=0.923116 t=8116
ni 	你	c=47 d=8.34514 t=8116
ni ming 	匿名	c=1 d=0.932394 t=8116
nian 	年	c=1 d=0.814647 t=8116
nong 	弄	c=1 d=0.937067 t=8116
o 	哦	c=1 d=0.955997 t=8116
ou 	偶	c=0 d=0.0965605 t=8116
ou er 	偶尔	c=1 d=0.932394 t=8116
pai chu 	排除	c=2 d=1.81078 t=8116
pai ming 	排名	c=2 d=1.94176 t=8116
pai xu 	排序	c=1 d=0.856415 t=8116
pai you cha 	排油茶	c=0 d=0.0970446 t=8116
pai you cha ren men 	排油茶人们	c=1 d=0.97531 t=8116
pan 	盘	c=3 d=2.57322 t=8116
pan duan 	判断	c=5 d=3.03488 t=8116
pao 	跑	c=1 d=0.97531 t=8116
pei zhi 	配置	c=22 d=9.30315 t=8116
pen di 	盆地	c=1 d=0.985112 t=8116
pi liang 	批量	c=2 d=1.40455 t=8116
pi pei 	匹配	c=2 d=1.8557 t=8116
pian 	片	c=1 d=0.970446 t=8116
piao 	嫖	c=1 d=1 t=8116
piao 	票	c=1 d=0.818731 t=8116
piao shu 	票数	c=2 d=1.80252 t=8116
pin fan 	频繁	c=1 d=0.985112 t=8116
pin xie 	拼写	c=2 d=1.90305 t=8116
ping 	平	c=3 d=2.29592 t=8116
ping ce 	评测	c=1 d=0.960789 t=8116
ping jia 	评价	c=5 d=3.44326 t=8116
ping lun 	评论	c=2 d=1.70336 t=8116
ping tai 	平台	c=1 d=0.806541 t=8116
pu tong 	普通	c=4 d=3.2763 t=8116
qi 	其	c=2 d=1.69182 t=8116
qi 	启	c=9 d=6.76684 t=8116
qi 	器	c=3 d=2.65039 t=8116
qi 	起	c=1 d=0.923116 t=8116
qi che ke ji 	汽车科技	c=1 d=0.937067 t=8116
qi ci 	其次	c=3 d=1.22968 t=8116
qi dong 	启动	c=6 d=4.39904 t=8116
qi guai 	奇怪	c=1 d=0.909373 t=8116
qi lai 	起来	c=1 d=0.818731 t=8116
qi shi 	其实	c=1 d=0.970446 t=8116
qi ta 	其他	c=34 d=6.56353 t=8116
qi ye 	企业	c=1 d=0.856415 t=8116
qi yong 	启用	c=3 d=2.55065 t=8116
qi yong 	弃用	c=1 d=0.782705 t=8116
qi zhong 	其中	c=1 d=0.904837 t=8116
qian hong se 	浅红色	c=2 d=1.97025 t=8116
qian zhui 	前缀	c=1 d=0.970446 t=8116
qiang 	强	c=1 d=0.737123 t=8116
qiang da 	强大	c=1 d=0.985112 t=8116
qiang zhi 	强制	c=1 d=0.99005 t=8116
qie huan 	切换	c=4 d=2.43914 t=8116
qing 	请	c=9 d=4.03619 t=8116
qing chu 	清楚	c=2 d=1.42234 t=8116
qing kong 	清空	c=1 d=0.878095 t=8116
qing kuang 	情况	c=2 d=1.62298 t=8116
qing li 	清理	c=1 d=0.980199 t=8116
qing ni 	请你	c=5 d=2.70339 t=8116
qing qiu 	请求	c=1 d=0.831104 t=8116
qing xi 	清洗	c=1 d=0.970446 t=8116
qing xiu gai 	请修改	c=1 d=0.927743 t=8116
qu 	区	c=16 d=4.85926 t=8116
qu 	去	c=5 d=2.84941 t=8116
qu 	取	c=4 d=3.08951 t=8116
qu bie 	区别	c=5 d=3.71711 t=8116
qu diao 	去掉	c=2 d=1.76721 t=8116
qu fan 	取反	c=1 d=1 t=8116
qu fen 	区分	c=1 d=0.900325 t=8116
qu le 	去了	c=0 d=0.0960789 t=8116
qu shi 	趋势	c=1 d=0.965605 t=8116
qu xiao 	取消	c=5 d=3.35619 t=8116
qu yu 	区域	c=7 d=2.84312 t=8116
quan 	权	c=1 d=0.83527 t=8116
quan bu 	全部	c=9 d=3.81116 t=8116
quan ju 	全局	c=6 d=2.83117 t=8116
que 	却	c=1 d=0.955997 t=8116
que 	缺	c=3 d=2.10342 t=8116
que bao 	确保	c=1 d=0.932394 t=8116
que dian 	缺点	c=1 d=0.927743 t=8116
que ren 	确认	c=1 d=0.831104 t=8116
que shao 	缺少	c=3 d=1.54869 t=8116
ran hou 	然后	c=29 d=7.03977 t=8116
rang 	让	c=18 d=6.75858 t=8116
rang ni 	让你	c=1 d=0.418952 t=8116
re 	热	c=0 d=0.0937067 t=8116
re na me 	热那么	c=1 d=0.941765 t=8116
ren ding 	认定	c=0 d=0.0946485 t=8116
ren ding wei 	认定为	c=1 d=0.951229 t=8116
ren gou 	认购	c=0 d=0.0878095 t=8116
ren he 	任何	c=4 d=1.71511 t=8116
ren men 	人们	c=0 d=0.0970446 t=8116
ren ran 	任然	c=2 d=1.63645 t=8116
ren wu 	任务	c=7 d=4.75143 t=8116
ren zheng 	认证	c=1 d=0.932394 t=8116
ri 	日	c=1 d=1 t=8116
ri ben 	日本	c=1 d=0.985112 t=8116
ri zhi 	日志	c=20 d=7.83271 t=8116
ri zhi 	日至	c=1 d=0.88692 t=8116
ri zi 	日子	c=1 d=0.511709 t=8116
rong qi 	容器	c=7 d=4.09413 t=8116
rong yu 	冗余	c=1 d=0.995012 t=8116
ru 	入	c=1 d=0.995012 t=8116
ru guo 	如果	c=35 d=7.95372 t=8116
ru he 	如何	c=78 d=15.3431 t=8116
ru ju 	入局	c=0 d=0.0937067 t=8116
ru xia 	如下	c=1 d=0.810584 t=8116
ruan jian 	软件	c=1 d=0.960789 t=8116
ruan lian jie 	软链接	c=2 d=1.76721 t=8116
san 	三	c=2 d=1.53518 t=8116
sao miao 	扫描	c=1 d=0.88692 t=8116
se 	色	c=1 d=0.958929 t=8116
sha 	啥	c=1 d=0.941765 t=8116
shan chu 	删除	c=10 d=5.82388 t=8116
shang 	上	c=15 d=5.87942 t=8116
shang ceng 	上层	c=1 d=0.782705 t=8116
shang ge 	上个	c=1 d=0.980199 t=8116
shang mian 	上面	c=7 d=3.19694 t=8116
shang xia 	上下	c=12 d=3.89827 t=8116
shang yi ci 	上一次	c=3 d=2.24834 t=8116
shang you 	上游	c=2 d=1.5659 t=8116
shang zhang 	上涨	c=1 d=0.822835 t=8116
shao 	少	c=3 d=2.44841 t=8116
she hui 	社会	c=2 d=1.92639 t=8116
she qu 	社区	c=2 d=1.97521 t=8116
she zhi 	设置	c=23 d=9.22829 t=8116
shei 	谁	c=1 d=0.970446 t=8116
shen 	深	c=1 d=0.995012 t=8116
shen du 	深度	c=1 d=1 t=8116
shen me 	什么	c=74 d=17.2073 t=8116
shen yi 	深意	c=1 d=0.843665 t=8116
sheng cheng 	生成	c=19 d=8.57801 t=8116
sheng ming 	声明	c=1 d=0.960789 t=8116
sheng ming 	生命	c=1 d=0.718924 t=8116
sheng ming zhou qi 	生命周期	c=2 d=1.6131 t=8116
sheng xiao 	生效	c=5 d=2.86184 t=8116
shi 	使	c=1 d=0.99005 t=8116
shi 	时	c=41 d=8.8152 t=8116
shi 	是	c=151 d=19.2177 t=8116
shi bai 	失败	c=4 d=2.57954 t=8116
shi bu shi 	是不是	c=1 d=0.99005 t=8116
shi fou 	是否	c=27 d=8.11777 t=8116
shi hou 	时候	c=8 d=2.83717 t=8116
shi ji 	实际	c=2 d=1.85252 t=8116
shi jia 	市价	c=1 d=0.99005 t=8116
shi jian 	事件	c=18 d=6.19877 t=8116
shi jian 	时间	c=7 d=4.04445 t=8116
shi jian chuo 	时间戳	c=1 d=0.918512 t=8116
shi pei 	适配	c=0 d=0.0860708 t=8116
shi pin 	视频	c=2 d=1.85572 t=8116
shi shi 	实施	c=1 d=1 t=8116
shi shi 	实时	c=1 d=0.955997 t=8116
shi ti 	实体	c=1 d=0.442639 t=8116
shi xian 	实现	c=47 d=13.5633 t=8116
shi yo 	是哟	c=1 d=0.918512 t=8116
shi yong 	使用	c=143 d=17.6509 t=8116
shi yong 	实用	c=1 d=0.852144 t=8116
shi yong ou ge 	使用偶个	c=1 d=0.970446 t=8116
shi you 	石油	c=1 d=0.683861 t=8116
shou 	收	c=2 d=1.54653 t=8116
shou ce 	手册	c=1 d=0.995012 t=8116
shou dong 	手动	c=7 d=4.52577 t=8116
shou quan 	授权	c=1 d=0.970446 t=8116
shou yi 	收益	c=1 d=0.99005 t=8116
shu 	数	c=2 d=1.31962 t=8116
shu 	树	c=5 d=4.20204 t=8116
shu biao 	鼠标	c=14 d=4.55601 t=8116
shu chu 	输出	c=17 d=8.02661 t=8116
shu ju 	数据	c=32 d=9.72094 t=8116
shu liang 	数量	c=3 d=1.92341 t=8116
shu ru 	输入	c=2 d=1.70463 t=8116
shu xing 	属性	c=2 d=1.77464 t=8116
shu zhi 	数值	c=1 d=0.852144 t=8116
shu zi 	数字	c=1 d=0.913931 t=8116
shu zu 	数组	c=4 d=3.38057 t=8116
shua xin 	刷新	c=2 d=1.76932 t=8116
shuang xiang 	双向	c=3 d=2.7509 t=8116
shun jian 	瞬间	c=1 d=0.980199 t=8116
shuo 	说	c=8 d=3.82705 t=8116
shuo ming 	说明	c=2 d=1.49296 t=8116
si 	四	c=2 d=1.6624 t=8116
si chuan 	四川	c=1 d=0.965605 t=8116
si kao 	思考	c=4 d=3.65883 t=8116
si suo 	死锁	c=1 d=0.995012 t=8116
song 	送	c=1 d=0.923116 t=8116
sou suo 	搜索	c=3 d=2.40288 t=8116
sou xun 	搜寻	c=2 d=1.86667 t=8116
su lian 	苏联	c=4 d=2.9972 t=8116
suan 	算	c=1 d=0.99005 t=8116
suan fa 	算法	c=1 d=0.740818 t=8116
sun shi 	损失	c=2 d=1.81785 t=8116
suo 	锁	c=5 d=4.21593 t=8116
suo fang 	所放	c=1 d=0.965605 t=8116
suo fang 	缩放	c=2 d=1.71716 t=8116
suo xiao 	缩小	c=2 d=1.66689 t=8116
suo yi 	所以	c=3 d=1.77065 t=8116
suo you 	所有	c=20 d=5.20068 t=8116
suo zai 	所在	c=1 d=0.543351 t=8116
ta 	他	c=21 d=6.47941 t=8116
ta 	它	c=5 d=2.49657 t=8116
tai 	太	c=1 d=0.628135 t=8116
tai da 	太大	c=1 d=0.860708 t=8116
tai duo 	太多	c=3 d=2.77948 t=8116
tai hao 	太好	c=1 d=0.806541 t=8116
tan ce 	探测	c=2 d=1.41611 t=8116
tao bao 	淘宝	c=1 d=1 t=8116
tao lun 	讨论	c=8 d=3.8849 t=8116
te bie 	特别	c=1 d=0.985112 t=8116
te ding 	特定	c=1 d=0.99005 t=8116
te se 	特色	c=4 d=2.47977 t=8116
te shu 	特殊	c=1 d=0.904837 t=8116
te xing 	特性	c=15 d=7.10057 t=8116
ti 	体	c=2 d=1.73959 t=8116
ti huan 	替换	c=2 d=1.58905 t=8116
ti jiao 	提交	c=12 d=7.83939 t=8116
ti qu 	提取	c=4 d=3.13664 t=8116
ti shi 	提示	c=18 d=10.6853 t=8116
tian 	填	c=2 d=1.89037 t=8116
tian 	天	c=1 d=0.960789 t=8116
tian jia 	添加	c=21 d=5.91347 t=8116
tian xie 	填写	c=2 d=1.89786 t=8116
tiao 	条	c=2 d=1.16726 t=8116
tiao 	跳	c=2 d=1.91683 t=8116
tiao shi 	调试	c=1 d=0.677057 t=8116
tiao yue 	跳跃	c=2 d=1.58535 t=8116
tiao zheng 	调整	c=8 d=2.79991 t=8116
tiao zhuan 	跳转	c=3 d=2.59245 t=8116
ting 	厅	c=5 d=4.24259 t=8116
ting zhi 	停止	c=2 d=1.21538 t=8116
tong 	同	c=2 d=1.61731 t=8116
tong 	通	c=1 d=0.980199 t=8116
tong bu 	同步	c=3 d=2.13998 t=8116
tong guo 	通过	c=17 d=6.77072 t=8116
tong shi 	同时	c=5 d=2.95506 t=8116
tong yang 	同样	c=2 d=1.42845 t=8116
tong yi 	统一	c=2 d=1.68463 t=8116
tong zhi 	通知	c=2 d=1.87156 t=8116
tou 	头	c=1 d=0.818731 t=8116
tou yi ge 	头一个	c=1 d=0.806541 t=8116
tu po 	突破	c=2 d=1.77606 t=8116
tui chu 	退出	c=1 d=0.733447 t=8116
tui dao 	推倒	c=1 d=0.900325 t=8116
tun 	吞	c=2 d=1.73221 t=8116
wai 	外	c=2 d=1.73594 t=8116
wan 	完	c=4 d=2.70791 t=8116
wan 	晚	c=1 d=0.810584 t=8116
wan 	玩	c=1 d=0.918512 t=8116
wan cheng 	完成	c=12 d=3.86974 t=8116
wan mei 	完美	c=6 d=4.78074 t=8116
wan quan 	完全	c=3 d=1.98198 t=8116
wan shan 	完善	c=6 d=3.57295 t=8116
wan zheng 	完整	c=2 d=1.94128 t=8116
wang 	往	c=3 d=2.72784 t=8116
wang 	王	c=1 d=0.856415 t=8116
wang ji 	忘记	c=1 d=0.540641 t=8116
wang luo 	网络	c=2 d=1.00196 t=8116
wang pan 	网盘	c=1 d=0.99005 t=8116
wang su 	网速	c=1 d=0.995012 t=8116
wang ye 	网页	c=2 d=1.90398 t=8116
wang ye ban 	网页版	c=3 d=2.38037 t=8116
wei 	为	c=47 d=12.9113 t=8116
wei bo 	微博	c=1 d=0.941765 t=8116
wei chi 	维持	c=1 d=0.722527 t=8116
wei fu wu 	微服务	c=1 d=1 t=8116
wei kong 	为空	c=1 d=0.782705 t=8116
wei le 	为了	c=1 d=0.923116 t=8116
wei shen me 	为什么	c=32 d=11.6201 t=8116
wei wan cheng 	未完成	c=1 d=0.985112 t=8116
wei xin 	微信	c=5 d=4.50593 t=8116
wei zhe yang 	为这样	c=1 d=0.960789 t=8116
wei zhi 	位置	c=5 d=1.8149 t=8116
wei zhi 	未知	c=1 d=0.744532 t=8116
wen 	问	c=1 d=0.771052 t=8116
wen ben 	文本	c=3 d=2.59562 t=8116
wen dang 	文档	c=25 d=9.96515 t=8116
wen ding 	稳定	c=1 d=0.995012 t=8116
wen jian 	文件	c=58 d=11.207 t=8116
wen jian jia 	文件夹	c=6 d=5.15921 t=8116
wen ti 	问题	c=38 d=9.72839 t=8116
wen zhang 	文章	c=1 d=0.99005 t=8116
wo 	我	c=86 d=14.2854 t=8116
wo bu xin 	我不信	c=1 d=0.965605 t=8116
wo de 	我的	c=8 d=4.77523 t=8116
wo men 	我们	c=2 d=1.34071 t=8116
wu 	无	c=1 d=0.900325 t=8116
wu da 	武大	c=1 d=0.904837 t=8116
wu fa 	无法	c=20 d=9.79799 t=8116
wu fa bi mian 	无法避免	c=1 d=0.722527 t=8116
wu xiao 	无效	c=1 d=0.99005 t=8116
wu yong 	无用	c=2 d=1.79453 t=8116
xi fen 	细分	c=1 d=0.923116 t=8116
xi tong 	系统	c=3 d=2.57546 t=8116
xi wang 	希望	c=5 d=3.24429 t=8116
xi xian 	细线	c=1 d=0.860708 t=8116
xia 	下	c=13 d=5.73503 t=8116
xia dan 	下单	c=1 d=0.941765 t=8116
xia die 	下跌	c=1 d=0.826959 t=8116
xia zai 	下载	c=15 d=6.79855 t=8116
xian 	先	c=3 d=2.12271 t=8116
xian cheng 	线程	c=17 d=6.23326 t=8116
xian huo 	现货	c=1 d=0.955997 t=8116
xian ka 	显卡	c=1 d=0.782705 t=8116
xian shi 	显示	c=13 d=6.656 t=8116
xian shi yong 	先使用	c=1 d=0.965605 t=8116
xian yan 	鲜艳	c=1 d=0.631284 t=8116
xian you 	现有	c=2 d=1.40761 t=8116
xian zai 	现在	c=19 d=6.52604 t=8116
xian zhi 	限制	c=3 d=2.63186 t=8116
xiang 	像	c=6 d=3.34605 t=8116
xiang 	向	c=3 d=2.39319 t=8116
xiang 	想	c=9 d=3.52976 t=8116
xiang fa 	想法	c=1 d=0.814647 t=8116
xiang guan 	相关	c=4 d=2.48667 t=8116
xiang hu 	相互	c=2 d=1.03919 t=8116
xiang mu 	项目	c=14 d=6.74963 t=8116
xiang qing 	详情	c=1 d=0.985112 t=8116
xiang tong 	相同	c=1 d=0.965605 t=8116
xiang xi 	详细	c=3 d=2.28349 t=8116
xiang ying 	响应	c=1 d=0.97531 t=8116
xiao 	小	c=3 d=1.40905 t=8116
xiao dian 	笑点	c=1 d=0.970446 t=8116
xiao guo 	效果	c=5 d=2.97453 t=8116
xiao hua 	笑话	c=9 d=6.5919 t=8116
xiao shi 	小时	c=1 d=0.97531 t=8116
xiao shu wei 	小数位	c=1 d=0.995012 t=8116
xiao xi 	消息	c=1 d=0.869358 t=8116
xie 	些	c=4 d=2.74208 t=8116
xie 	写	c=24 d=7.63096 t=8116
xie ba 	写吧	c=1 d=0.904837 t=8116
xie dai ma 	写代码	c=1 d=1 t=8116
xie fa 	写法	c=4 d=2.81084 t=8116
xie hao 	写好	c=1 d=0.937067 t=8116
xie qi lai 	写起来	c=1 d=0.927743 t=8116
xie ru 	写入	c=1 d=0.778801 t=8116
xie wan 	写完	c=1 d=0.729789 t=8116
xie xie 	谢谢	c=1 d=0.955997 t=8116
xie yi 	协议	c=1 d=0.99005 t=8116
xie yi ge 	写一个	c=6 d=4.07658 t=8116
xin 	新	c=10 d=4.96035 t=8116
